SampleID	Life_stage	Treatment	plasma_chol	plasma_tri	muc13	il1b	ifnr	il10	tgfb	cd8b	cd3	myd88	zo-1	claudin15	claudin-25b	plasma_nutrients	qPCR_immune	qPCR_barrier
39	FW	Ref	3	1.3	9.257	0.136	0.054	0.053	0.062	0.163	0.238	1.32	0.96	2.79	1.29	-3.06	-1.54	0.09
41	FW	Ref	5.4	5.8	7.065	0.111	0.069	0.043	0.121	0.204	0.214	0.736	0.89	2.69	1.92	1.07	-1.09	0.51
50	FW	Ref	6.3	4.3	5.723	0.16	0.026	0.014	0.074	0.119	0.114	0.796	0.88	2.68	0.72	0.9	1.31	-0.94
53	FW	Ref	4.1	3.8	11.749	0.113	0.075	0.072	0.116	0.312	0.25	2.016	1.5	5.01	4.46	-0.36	-3.29	3.33
61	FW	Ref	5.3	1.4	8.241	0.42	0.204	0.089	0.082	0.4	0.51	2.039	1.16	3.63	2.45	-1.55	-4.58	1.65
62	FW	Ref	9.6	4	17.566	0.296	0.082	0.033	0.13	0.14	0.238	1.855	1.44	10.57	3.6	1.79	-3.01	3.99
63	FW	Ref	8.9	4.1	10.211	0.143	0.02	0.027	0.082	0.345	0.184	1.382	1.48	3.85	1.54	1.65	-1.3	1.4
46	FW	Test	7.7	3.5	7.312	0.085	0.018	0.012	0.05	0.145	0.094	0.883	0.96	4.03	1.06	1.02	1.75	0.31
48	FW	Test	5.4	2.7	5.746	0.018	0.008	0.021	0.043	0.153	0.089	0.746	0.62	1.83	0.95	-0.31	2.76	-1.57
59	FW	Test	8.6	3.3	5.787	0.052	0.028	0.036	0.017	0.131	0.209	0.996	0.73	2.11	1.01	1.18	1.11	-1.03
67	FW	Test	6.1	2.7	4.009	0.02	0.007	0.014	0.071	0.112	0.114	0.702	0.68	1.5	0.68	-0.02	3.05	-2.18
68	FW	Test	5.1	2.9	5.478	0.057	0.032	0.036	0.071	0.132	0.168	1.043	0.9	1.82	0.9	-0.32	0.38	-1.11
69	FW	Test	8.5	3.5	6.645	0.032	0.043	0.028	0.133	0.235	0.179	0.898	0.87	1.5	1.24	1.26	-0.29	-0.97
70	FW	Test	8	1.8	20.29	0.139	0.035	0.026	0.112	0.337	0.249	1.973	2.17	10.03	2.32	-0.1	-3.03	3.87
71	FW	Test	7.7	2.3	19.175	0.543	0.064	0.083	0.1	0.234	0.252	2.767	2.14	9.48	3.84	0.26	-4.37	4.5
138	SW1	Ref	3.4	2.2	5.822	0.025	0.006	0.011	0.053	0.154	0.087	0.72	0.87	2.27	1.33	-1.8	3.08	-0.29
139	SW1	Ref	3.8	2.3	4.808	0.021	0.005	0.03	0.043	0.173	0.111	0.761	0.81	1.7	1.06	-1.45	2.53	-1.12
149	SW1	Ref	5.7	1.9	4.346	0.054	0.061	0.027	0.022	0.114	0.123	0.602	0.41	1.86	0.71	-0.82	2.2	-2.55
150	SW1	Ref	4.1	1.7	4.91	0.025	0.01	0.013	0.058	0.121	0.13	0.565	0.68	1.27	1.03	-1.82	2.81	-1.81
151	SW1	Ref	4.4	2.3	5.78	0.022	0.004	0.013	0.076	0.22	0.135	0.786	0.98	1.58	0.96	-1.1	2.13	-1.1
161	SW1	Ref	3.5	2.1	4.805	0.01	0.003	0.007	0.022	0.121	0.108	0.672	0.63	1.63	0.74	-1.82	4.66	-2.05
162	SW1	Ref	4	1.2	3.483	0.026	0.004	0.015	0.049	0.102	0.157	0.415	0.53	1.29	0.71	-2.51	3.7	-2.69
163	SW1	Ref	3	2.4	10.197	0.074	0.01	0.085	0.535	0.546	0.628	2.653	1.36	5.39	2.45	-1.95	-4.89	2.42
144	SW1	Test	5.6	2.2	4.179	0.032	0.007	0.011	0.061	0.155	0.124	0.587	0.43	1.72	1.12	-0.6	3	-1.9
145	SW1	Test	4.6	1.6	7.287	0.036	0.007	0.036	0.082	0.172	0.168	1.114	1.1	2.37	1.34	-1.65	0.5	0.11
155	SW1	Test	5.8	1.9	5.591	0.031	0.007	0.012	0.054	0.204	0.157	0.832	0.84	2.58	1.01	-0.78	1.96	-0.57
156	SW1	Test	4.3	2.2	5.433	0.064	0.005	0.007	0.04	0.115	0.117	0.668	0.57	2.16	0.99	-1.23	3.32	-1.39
157	SW1	Test	3.9	1.4	7.437	0.041	0.008	0.018	0.061	0.098	0.126	0.845	0.95	2.15	1.14	-2.29	1.88	-0.47
167	SW1	Test	6.5	1.4	6.007	0.03	0.01	0.02	0.022	0.134	0.182	0.708	0.78	1.86	0.87	-1.05	2.3	-1.35
168	SW1	Test	5.2	1.3	5.094	0.018	0.003	0.014	0.056	0.226	0.155	0.622	0.94	1.57	0.88	-1.73	2.65	-1.29
